"casn" "cacont" "kl1" "kl2" "xh1" "xh2"
5.846 0.39863 -2.9358 -0.20434 1640.2 827.36
6.3605 0.22612 -1.7682 -0.38198 1920.2 950.29
7.2629 0.26126 -2.6947 0.03356 1692.9 919.9
3.4108 0.30129 -3.1036 -0.0054114 1571 892.77
9.1273 0.25287 -2.3132 -0.06825 1753.9 855.34
3.7227 0.25622 -0.80851 0.16569 1960.9 917.7
11.139 0.22251 -2.3362 0.11039 1732 875.78
7.3107 0.27906 -4.5639 -0.24766 1403 802.71
4.1502 0.30589 -2.2173 -0.054129 1769.8 856.65
6.2039 0.32151 -0.41459 -0.0096144 2023.4 932.93
8.4578 0.22271 -0.77522 0.026174 1954.5 940.85
2.9727 0.24416 -1.469 -0.32995 1990.2 959.08
13.235 0.27111 -1.4238 0.16171 1867.6 1042.3
9.5583 0.33848 -3.7162 -0.13292 1534.1 868.21
5.9687 0.16333 0.36957 -0.021421 2069.3 1002.4
7.1915 0.10648 0.60692 -0.26042 2142.9 1153.2
4.6333 0.32473 -1.8515 -0.23646 1867.8 927.99
3.2004 0.35951 -5.5291 -0.11714 1270.7 713.76
10.857 0.24339 -1.4893 -0.084586 1898.1 993.35
5.4265 0.15651 0.53927 0.037756 2088.2 1011.1
13.166 0.2465 -2.2573 -0.12298 1791.1 925.01
3.4739 0.27922 -1.457 -0.1843 1900 888.26
5.2181 0.38281 0.41484 1.4758 2014.1 1234
6.6031 0.34552 -2.4372 -0.13799 1758.1 848.93
2.543 0.2932 -1.5673 -0.88236 1997.1 919.82
6.5277 0.11085 1.0085 -0.20016 2166 1039.1
7.6055 0.26319 -0.34016 0.098241 2037.8 1062
4.2329 0.29067 -4.9302 -0.073804 1355.3 785.03
2.9464 0.51139 -3.6781 -0.55631 1586.5 791.23
5.3102 0.35692 -2.8769 0.096176 1669.4 913.28
10.432 0.26871 0.31956 -0.31719 2114.6 972.1
2.1428 0.2807 -0.79308 -0.26825 1831 971.63
6.7402 0.23691 0.42953 0.051115 2082.2 1005.4
2.3051 0.28863 -0.85739 0.41397 1942.9 878.38
9.797 0.18585 0.019324 -0.39425 2119.9 1054.5
2.2792 0.34768 -4.9961 -0.21096 1376.3 807.01
4.1065 0.27839 -0.069904 -0.79154 2147.2 1061
5.3456 0.3476 -1.6177 -0.55311 1931.3 846.65
7.5991 0.20402 0.20606 -0.63404 2169.4 1067.7
6.8087 0.18692 -0.20046 -0.32761 2043.8 956.76
2.8456 0.32721 -0.94411 -0.19454 1974.2 1019.2
2.8197 0.37541 -2.5752 -0.46818 1659.3 806.28
7.3916 0.27769 -1.8587 -0.1856 1845.9 868.07
1.2933 0.13957 1.0481 -2.0283 2412.4 1029.1
7.824 0.27057 -1.8938 -0.12584 1834.2 886.11
1.4661 0.26643 -4.3441 -0.32802 1417.3 822.1
1.7401 0.17205 1.0701 -3.3891 1696.4 904.72
9.0709 0.22058 -1.3408 -0.048288 1882.7 909.48
6.8267 0.34163 -4.9661 -0.48135 1391.8 731.59
3.093 0.44254 -3.3423 -0.53178 1634.1 868.25
1.9946 0.31009 -2.6769 -0.1161 1651.3 855.26
3.2583 0.2655 -0.63264 -1.023 1671.9 908.01
8.3603 0.26683 -2.7819 -0.37726 1414.5 857.89
9.6481 0.21796 -0.50399 -0.79844 1680.1 929.92
1.6414 0.20281 -3.0057 0.060381 1622.7 887.92
3.2923 1.0904 -6.6973 0.20134 1153.2 697.68
9.4505 0.27793 -2.2111 -0.024752 1770.8 953.19
1.5262 0.2162 -2.9201 -0.79176 1606.8 805.15
1.5454 0.21387 -1.9453 -0.23171 1848.2 939.92
9.6117 0.25349 -1.2512 -0.4329 1936.2 894.68
14.355 0.23876 -3.2936 -0.044776 1582.7 900.41
3.2037 0.35445 -4.9439 -0.2433 1367.1 793.15
4.0836 0.66715 -4.651 -0.2276 1416.5 852.67
3.468 0.061144 1.4556 -0.25877 2251.3 1230.4
1.6495 0.21106 0.38407 -1.826 1811.3 1056.9
3.6853 0.20041 -1.8081 -0.23006 1862.7 868.72
5.3352 0.21717 -0.86302 -0.17064 1967.4 1006.1
9.4684 0.14099 -0.14706 -0.26025 2035 996.9
2.0992 0.28156 -2.4893 -0.36493 1793.4 831.84
5.9295 0.30159 -1.7146 -0.53698 1925.7 929.4
4.2507 0.45584 -3.2239 -0.48921 1668.5 873.37
7.8852 0.32581 -1.9978 -0.31505 1860.8 935.32
7.092 0.22404 -1.6396 0.41783 1839.8 992.27
4.0641 0.21888 -4.506 0.13751 1404.8 840.05
10.095 0.19731 -1.187 -0.34989 1984.9 966.86
6.1526 0.21226 -2.4923 -0.19084 1750.9 843.72
9.9493 0.14295 -2.0696 -0.073495 1812.8 970.15
9.8798 0.22145 -2.4446 0.27181 1713.8 958.03
2.4358 0.16926 -1.2437 -0.16759 1921.6 980.05
9.6554 0.23275 -1.5301 -0.53627 1554.1 892.76
4.8903 0.21486 -0.2962 -0.14063 1788.7 941.59
2.8252 0.22846 -2.479 -0.35764 1766.4 916.98
3.7577 0.42273 5.9562 -21.444 1316.2 710.61
4.0903 0.37187 -4.0068 -0.15341 1504.6 823.38
5.6696 0.25288 -2.3737 -0.11027 1754.3 849.67
8.5998 0.28725 -2.8059 -0.31044 1725.1 901.87
14.712 0.24057 -2.4185 0.39747 1672.5 993.93
4.6213 0.39673 -2.3482 0.15011 1784.6 835.03
4.2034 0.581 -2.7983 0.10216 1721 832.28
3.2267 0.29887 -0.28925 -0.37309 2131.3 1035
12.374 0.21792 -1.0265 -0.19136 1976.3 1017.7
11.339 0.23493 -0.72743 -0.017705 1991.5 1052.6
4.9411 0.31997 -4.8341 -0.099372 1357.6 709.6
7.1472 0.10574 0.97018 -0.7553 2206.9 1009.5
3.1565 0.33461 -4.4251 -0.087799 1425.5 816.52
